ID,actual_productivity
TEST_0000,0.4010344714815332
TEST_0001,0.5210315919930597
TEST_0002,0.4249303016579226
TEST_0003,0.40063205505519645
TEST_0004,0.5683866516299287
TEST_0005,0.6608171637574088
TEST_0006,0.8043061477792214
TEST_0007,0.6610126936927679
TEST_0008,0.6145321443680111
TEST_0009,0.6550402377818869
TEST_0010,0.7357427931079287
TEST_0011,0.6627619499884281
TEST_0012,0.6946676049945267
TEST_0013,0.7406046263667945
TEST_0014,0.6216472364085692
TEST_0015,0.6392303312459351
TEST_0016,0.7210330198505994
TEST_0017,0.7210330198505994
TEST_0018,0.7109517198510322
TEST_0019,0.4440552998507119
TEST_0020,0.3252765597638086
TEST_0021,0.3320602310603138
TEST_0022,0.38501547006085013
TEST_0023,0.38501547006085013
TEST_0024,0.367015301382369
TEST_0025,0.48530074678304624
TEST_0026,0.6203276449118069
TEST_0027,0.45860280902397205
TEST_0028,0.7104283265509281
TEST_0029,0.6809876138378127
TEST_0030,0.658502439483803
TEST_0031,0.6975671625253271
TEST_0032,0.7733021851488245
TEST_0033,0.8181004959344592
TEST_0034,0.7308041805061279
TEST_0035,0.835965839128791
TEST_0036,0.349172433304691
TEST_0037,0.46834487054680807
TEST_0038,0.47340175718094385
TEST_0039,0.46834487054680807
TEST_0040,0.33385013964766536
TEST_0041,0.3439523417039086
TEST_0042,0.3160478706172089
TEST_0043,0.3813008666060579
TEST_0044,0.6321152124999538
TEST_0045,0.5819272829689526
TEST_0046,0.6445234177741899
TEST_0047,0.4773225266917714
TEST_0048,0.30583966462625856
TEST_0049,0.30995436159243317
TEST_0050,0.2836648565291382
TEST_0051,0.3127132017299659
TEST_0052,0.4936019636987063
TEST_0053,0.3229176339622343
TEST_0054,0.45549504822802966
TEST_0055,0.31457181773711157
TEST_0056,0.484664624228941
TEST_0057,0.34748507865252615
TEST_0058,0.44960973428183815
TEST_0059,0.4757117233768286
TEST_0060,0.4356127837893038
TEST_0061,0.4507490367054712
TEST_0062,0.6283300369107221
TEST_0063,0.5164883898520919
TEST_0064,0.5546558523309421
TEST_0065,0.3774840186031395
TEST_0066,0.3852500721657661
TEST_0067,0.5628447444221619
TEST_0068,0.5033763295962509
TEST_0069,0.5046374476065865
TEST_0070,0.547782608102782
TEST_0071,0.6099123140609427
TEST_0072,0.6946676049945267
TEST_0073,0.7366855857256783
TEST_0074,0.6216472364085692
TEST_0075,0.5381535517107613
TEST_0076,0.6545266822101911
TEST_0077,0.5424513705673566
TEST_0078,0.6579481900132077
TEST_0079,0.6554481383465792
TEST_0080,0.398610834851852
TEST_0081,0.36344289788570106
TEST_0082,0.32283436935963833
TEST_0083,0.47919076853216264
TEST_0084,0.43605133660661183
TEST_0085,0.5906259605101274
TEST_0086,0.6746871270192709
TEST_0087,0.6531948304060687
TEST_0088,0.536164715500113
TEST_0089,0.4273395291240169
TEST_0090,0.43801624484883656
TEST_0091,0.42188276425409216
TEST_0092,0.4430796992188701
TEST_0093,0.38217500284758565
TEST_0094,0.45943248849633084
TEST_0095,0.36766964630750804
TEST_0096,0.7875572260417693
TEST_0097,0.7236813427320481
TEST_0098,0.7719711181802664
TEST_0099,0.6577063334201164
TEST_0100,0.4725601969961228
TEST_0101,0.4725601969961228
TEST_0102,0.45384441316469426
TEST_0103,0.32418324764849926
TEST_0104,0.35621550824652326
TEST_0105,0.4741097848418134
TEST_0106,0.487953912230087
TEST_0107,0.37141743243845754
TEST_0108,0.31159534850878645
TEST_0109,0.33600833941798985
TEST_0110,0.31445791707493637
TEST_0111,0.3306538610283648
TEST_0112,0.5370032190842422
TEST_0113,0.3243846794588303
TEST_0114,0.40327767700081435
TEST_0115,0.30807250796223873
TEST_0116,0.4257517494136929
TEST_0117,0.43603640975886776
TEST_0118,0.4672528956663888
TEST_0119,0.5761552894570766
TEST_0120,0.615446825396491
TEST_0121,0.5893325924832855
TEST_0122,0.4518819394964683
TEST_0123,0.45519101842116966
TEST_0124,0.5251187492778406
TEST_0125,0.4782741200331883
TEST_0126,0.47855633452998536
