ID,actual_productivity
TEST_0000,0.3530451260284649
TEST_0001,0.5599364359437082
TEST_0002,0.39583645623350444
TEST_0003,0.3530451260284649
TEST_0004,0.711077288995219
TEST_0005,0.7452082668934534
TEST_0006,0.809442246050811
TEST_0007,0.6809042731381342
TEST_0008,0.6447750975421218
TEST_0009,0.7387135743831605
TEST_0010,0.6649595298405202
TEST_0011,0.7688344799316721
TEST_0012,0.6506133915311769
TEST_0013,0.773786661602253
TEST_0014,0.664668675356221
TEST_0015,0.773786661602253
TEST_0016,0.8485641337073144
TEST_0017,0.8485641337073144
TEST_0018,0.8794432074461334
TEST_0019,0.5402067475474173
TEST_0020,0.34418524814852136
TEST_0021,0.36106957725170435
TEST_0022,0.4342416751022794
TEST_0023,0.4342416751022794
TEST_0024,0.42576371526421336
TEST_0025,0.5702414696207608
TEST_0026,0.6220569566049301
TEST_0027,0.4977633363943138
TEST_0028,0.6898421339603339
TEST_0029,0.6085801789600274
TEST_0030,0.6085801789600274
TEST_0031,0.39436510794160345
TEST_0032,0.784343772093701
TEST_0033,0.8079268821369991
TEST_0034,0.6764532663794096
TEST_0035,0.8526823958231028
TEST_0036,0.43113510538267397
TEST_0037,0.5436554509611619
TEST_0038,0.6441028959117385
TEST_0039,0.5436554509611619
TEST_0040,0.36467696009989753
TEST_0041,0.3446110591788269
TEST_0042,0.29714533875996674
TEST_0043,0.35453908019406905
TEST_0044,0.7126612651492326
TEST_0045,0.8206284441368692
TEST_0046,0.7758543274926197
TEST_0047,0.8220028868972917
TEST_0048,0.339818830552702
TEST_0049,0.43268438168713386
TEST_0050,0.3245614627487392
TEST_0051,0.36019296631935105
TEST_0052,0.4123333592165843
TEST_0053,0.3657068390619156
TEST_0054,0.5002741547466699
TEST_0055,0.35824554529135966
TEST_0056,0.45539964207237116
TEST_0057,0.3715112363180971
TEST_0058,0.4582710458984594
TEST_0059,0.45065081755887554
TEST_0060,0.4796314637026482
TEST_0061,0.49901186665434005
TEST_0062,0.8995387092369233
TEST_0063,0.7487461221856614
