id,count
0,127.0
1,222.0
2,111.0
4,65.0
5,120.0
10,127.0
11,214.0
12,264.0
15,46.0
17,14.0
18,319.0
23,319.0
25,189.0
26,50.0
31,150.0
39,138.0
40,30.0
41,264.0
42,150.0
43,104.0
51,300.0
52,117.0
54,15.0
60,119.0
61,118.0
62,101.0
63,16.0
65,127.0
66,215.0
68,118.0
71,29.0
80,16.0
82,53.0
94,118.0
98,315.0
101,36.0
102,138.0
107,230.0
112,176.0
113,37.0
115,41.0
116,127.0
120,127.0
121,37.0
122,331.0
132,215.0
143,37.0
147,78.0
150,16.0
151,107.0
152,324.0
153,94.0
155,66.0
156,150.0
159,118.0
161,267.0
163,51.0
177,101.0
186,16.0
188,16.0
190,32.0
191,104.0
192,262.0
195,187.0
200,264.0
209,222.0
210,9.0
211,324.0
214,136.0
215,16.0
218,112.0
219,38.0
222,127.0
225,30.0
228,317.0
236,284.0
241,49.0
242,291.0
243,317.0
245,17.0
247,222.0
251,121.0
252,19.0
253,79.0
254,66.0
258,278.0
260,29.0
261,118.0
265,94.0
266,150.0
267,222.0
269,114.0
270,63.0
275,112.0
278,50.0
279,46.0
286,32.0
287,30.0
288,188.0
289,163.0
293,30.0
294,262.0
297,41.0
302,66.0
303,39.0
304,120.0
307,104.0
309,13.0
311,180.0
312,150.0
314,176.0
315,317.0
319,163.0
322,127.0
323,84.0
325,97.0
327,150.0
330,51.0
332,21.0
333,30.0
338,104.0
341,66.0
345,150.0
348,163.0
349,40.0
350,115.0
352,34.0
355,8.0
356,21.0
358,35.0
363,118.0
369,180.0
371,8.0
372,41.0
375,176.0
380,115.0
388,40.0
391,21.0
392,247.0
393,331.0
394,191.0
396,13.0
401,36.0
407,34.0
409,128.0
410,87.0
416,122.0
418,127.0
420,121.0
421,113.0
422,121.0
424,278.0
428,331.0
429,176.0
431,150.0
435,23.0
439,79.0
441,18.0
447,94.0
449,118.0
451,130.0
452,13.0
454,252.0
458,176.0
463,118.0
467,18.0
470,247.0
471,114.0
474,176.0
478,18.0
483,215.0
484,189.0
485,98.0
486,141.0
491,95.0
494,95.0
495,150.0
497,150.0
499,222.0
515,19.0
518,185.0
521,127.0
525,118.0
529,222.0
532,119.0
534,94.0
540,78.0
544,319.0
547,104.0
549,43.0
563,16.0
564,102.0
567,95.0
572,115.0
577,189.0
578,317.0
585,222.0
588,227.0
589,113.0
590,85.0
592,17.0
594,238.0
596,16.0
598,187.0
599,121.0
605,87.0
606,208.0
607,207.0
608,214.0
609,84.0
610,304.0
611,118.0
614,19.0
615,150.0
616,138.0
617,108.0
618,305.0
624,81.0
629,137.0
631,94.0
633,103.0
637,30.0
638,104.0
643,57.0
644,112.0
645,50.0
646,189.0
648,238.0
650,31.0
651,81.0
652,309.0
656,112.0
657,20.0
659,39.0
660,305.0
662,114.0
665,304.0
675,150.0
681,123.0
682,207.0
685,24.0
686,180.0
689,14.0
696,138.0
703,150.0
704,95.0
705,219.0
714,230.0
717,117.0
718,2.0
720,19.0
721,324.0
723,241.0
726,95.0
728,133.0
730,95.0
731,34.0
734,402.0
737,57.0
738,30.0
745,222.0
746,29.0
749,274.0
752,30.0
753,95.0
758,217.0
765,16.0
766,335.0
768,94.0
769,151.0
774,101.0
775,94.0
781,63.0
784,331.0
794,11.0
795,227.0
796,94.0
802,150.0
803,81.0
805,20.0
806,244.0
807,115.0
809,16.0
810,222.0
812,104.0
814,115.0
818,309.0
819,102.0
825,87.0
836,52.0
839,115.0
847,278.0
848,87.0
851,189.0
852,121.0
853,37.0
857,121.0
858,20.0
859,207.0
861,20.0
867,115.0
870,274.0
871,244.0
872,140.0
874,248.0
881,104.0
886,235.0
890,29.0
895,120.0
899,94.0
900,304.0
901,227.0
902,151.0
903,49.0
913,217.0
918,161.0
923,199.0
924,50.0
926,27.0
927,16.0
930,138.0
934,20.0
937,150.0
939,171.0
941,38.0
942,331.0
946,172.0
950,115.0
953,222.0
959,14.0
961,30.0
962,19.0
964,230.0
969,277.0
971,161.0
976,46.0
978,217.0
980,150.0
981,126.0
990,222.0
993,20.0
996,26.0
998,187.0
999,161.0
1006,132.0
1008,20.0
1013,40.0
1015,181.0
1016,108.0
1022,222.0
1026,150.0
1028,300.0
1031,39.0
1034,95.0
1037,172.0
1040,53.0
1042,16.0
1046,26.0
1048,181.0
1049,132.0
1050,84.0
1051,205.0
1052,150.0
1055,181.0
1060,161.0
1064,30.0
1066,103.0
1071,132.0
1073,2.0
1089,132.0
1091,111.0
1092,33.0
1093,310.0
1096,222.0
1097,257.0
1098,27.0
1099,21.0
1102,104.0
1107,117.0
1109,31.0
1111,2.0
1112,181.0
1114,172.0
1116,257.0
1117,132.0
